treat,time,dose,rep,total_spikes,dis_spikes,total_spikelets,dis_spikelets,total_seeds,inf_seeds
Ionic liquid,Curative,0.5,1,10,10,97,66,25,24
Ionic liquid,Curative,0.5,2,13,13,111,89,25,21
Ionic liquid,Curative,0.5,3,10,10,96,71,25,25
Ionic liquid,Curative,0.5,4,11,11,109,75,25,19
Ionic liquid,Curative,0.5,5,13,13,118,91,25,22.25
Ionic liquid,Curative,2,1,12,12,110,79,25,13
Ionic liquid,Curative,2,2,10,8,119,49,25,17
Ionic liquid,Curative,2,3,10,10,95,71,25,20
Ionic liquid,Curative,2,4,11,11,109,62,25,21
Ionic liquid,Curative,2,5,10,10,86,85,25,17.75
Ionic liquid,Preventative,2,2,11,4,116,9,25,6
Ionic liquid,Preventative,2,3,14,5,166,7,25,3
Ionic liquid,Preventative,2,4,13,7,157,12,25,1
Ionic liquid,Preventative,2,5,11,4,129,7,25,6.9375
Ionic liquid,Preventative,0.5,1,9,6,103,13,25,10
Ionic liquid,Preventative,0.5,2,16,12,125,31,25,12
Ionic liquid,Preventative,0.5,3,18,17,210,80,25,12
Ionic liquid,Preventative,0.5,4,8,8,97,28,25,10
Ionic liquid,Preventative,0.5,5,16,15,180,75,25,11
Ionic liquid,Preventative,2,1,7,0,84,0,25,1
Ionic liquid,Preventative,2,1,14,2,166,3,25,5
Tebuconazole,Curative,2,1,10,6,123,21,25,2
Tebuconazole,Curative,2,2,10,5,103,5,25,5
Tebuconazole,Curative,2,3,10,4,127,4,25,1
Tebuconazole,Curative,2,4,10,4,123,43,25,3
Tebuconazole,Curative,2,5,10,9,103,29,25,2.75
Tebuconazole,Curative,0.5,1,13,12,157,50,25,15
Tebuconazole,Curative,0.5,2,11,8,140,45,25,16
Tebuconazole,Curative,0.5,3,9,5,110,36,25,15
Tebuconazole,Curative,0.5,4,9,7,105,20,25,16
Tebuconazole,Curative,0.5,5,10,6,115,20,25,15.5
Tebuconazole,Preventative,2,2,18,1,120,0,25,2
Tebuconazole,Preventative,2,3,8,1,100,4,25,2
Tebuconazole,Preventative,2,4,10,1,96,3,25,0
Tebuconazole,Preventative,2,5,14,1,170,2,25,4.875
Tebuconazole,Preventative,0.5,1,10,0,121,0,25,2
Tebuconazole,Preventative,0.5,2,10,2,123,6,25,5
Tebuconazole,Preventative,0.5,3,9,1,107,3,25,0
Tebuconazole,Preventative,0.5,4,8,0,90,0,25,0
Tebuconazole,Preventative,0.5,5,13,1,142,4,25,1.75
