field,year,location,state,lat,long,residue,inc,sev,species,genotype
25,2010,Agua Santa,RS,-28.30617,-52.08281,soybean,68.24,9.47,Fgra,15-ADON
25,2010,Agua Santa,RS,-28.30617,-52.08281,soybean,68.24,9.47,Fgra,15-ADON
25,2010,Agua Santa,RS,-28.28964,-51.97308,soybean,68.24,9.47,Fgra,15-ADON
25,2010,Agua Santa,RS,-28.28964,-51.97308,soybean,68.24,9.47,Fgra,15-ADON
25,2010,Agua Santa,RS,-28.28964,-51.97308,soybean,68.24,9.47,Fgra,15-ADON
26,2010,Agua Santa,RS,-28.72158,-51.24422,corn,34,3.73,Fgra,15-ADON
26,2010,Agua Santa,RS,-28.72158,-51.24422,corn,34,3.73,Fgra,15-ADON
26,2010,Agua Santa,RS,-28.72158,-51.24422,corn,34,3.73,Fgra,15-ADON
26,2010,Agua Santa,RS,-28.30103,-51.46317,corn,34,3.73,Fmer,NIV
36,2011,Agua Santa,RS,-28.37067,-52.98822,soybean,40.5,1.31,Fgra,15-ADON
48,2010,Antonio Prado,RS,-28.33483,-52.88072,soybean,2,0.02,Fcor,NIV
49,2010,Antonio Prado,RS,-28.72158,-51.24422,corn,11,0.22,Fgra,15-ADON
49,2010,Antonio Prado,RS,-28.30103,-51.46317,corn,11,0.22,Fgra,15-ADON
49,2010,Antonio Prado,RS,-28.27356,-52.68206,corn,11,0.22,Fgra,15-ADON
49,2010,Antonio Prado,RS,-28.27356,-52.68206,corn,11,0.22,Fgra,15-ADON
NA,2009,Apucarana,PR,-23.55083333,-51.08583333,NA,NA,NA,Fgra,15-ADON
NA,2009,Apucarana,PR,-23.55083333,-51.08583333,NA,NA,NA,Fgra,15-ADON
NA,2009,Apucarana,PR,-23.55083333,-51.08583333,NA,NA,NA,Fgra,15-ADON
NA,2009,Apucarana,PR,-23.55083333,-51.08583333,NA,NA,NA,Fmer,NIV
NA,2009,Arapongas,PR,-23.41944444,-51.42444444,NA,NA,NA,Fgra,15-ADON
NA,2009,Arapongas,PR,-23.41944444,-51.42444444,NA,NA,NA,Fgra,15-ADON
NA,2009,Arapongas,PR,-23.41944444,-51.42444444,NA,NA,NA,Fgra,15-ADON
NA,2009,Arapongas,PR,-23.41944444,-51.42444444,NA,NA,NA,Fgra,15-ADON
NA,2009,Assis Chateaubriand,PR,-24.79888889,-53.30666667,NA,NA,NA,Fmer,NIV
NA,2009,Assis Chateaubriand,PR,-24.79888889,-53.30666667,NA,NA,NA,Fmer,NIV
NA,2009,Assis Chateaubriand,PR,-24.79888889,-53.30666667,NA,NA,NA,Fmer,NIV
NA,2009,Assis Chateaubriand,PR,-24.79888889,-53.30666667,NA,NA,NA,Fmer,NIV
NA,2009,Assis Chateaubriand,PR,-24.79888889,-53.30666667,NA,NA,NA,Fmer,NIV
38,2010,Barreto,RS,-28.32164,-51.23739,soybean,13,0.46,Faus,3-ADON
38,2010,Barreto,RS,-28.24944,-51.84692,soybean,13,0.46,Fcor,NIV
38,2010,Barreto,RS,-28.27356,-52.68206,soybean,13,0.46,Fgra,15-ADON
38,2010,Barreto,RS,-28.26644,-51.66858,soybean,13,0.46,Fmer,NIV
NA,2009,Bela Vista do Paraiso,PR,-24.09972222,-52.62333333,NA,NA,NA,Fmer,NIV
21,2009,Boa Vista das Missoes,RS,-28.53,-52.763,corn,25.13,2.5,Fgra,15-ADON
21,2009,Boa Vista das Missoes,RS,-28.53,-52.763,corn,25.13,2.5,Fgra,15-ADON
21,2009,Boa Vista das Missoes,RS,-28.53,-52.763,corn,25.13,2.5,Fgra,15-ADON
22,2009,Boa Vista das Missoes,RS,-28.609,-52.75,corn,61.81,7.19,Fgra,15-ADON
22,2009,Boa Vista das Missoes,RS,-28.609,-52.75,corn,61.81,7.19,Fgra,15-ADON
22,2009,Boa Vista das Missoes,RS,-28.609,-52.75,corn,61.81,7.19,Fgra,15-ADON
22,2009,Boa Vista das Missoes,RS,-28.609,-52.75,corn,61.81,7.19,Fgra,15-ADON
NA,2009,Cambe,PR,-23.27583333,-51.27833333,NA,NA,NA,Fgra,15-ADON
NA,2009,Cambe,PR,-23.27583333,-51.27833333,NA,NA,NA,Fgra,15-ADON
NA,2009,Cambe,PR,-23.27583333,-51.27833333,NA,NA,NA,Fgra,15-ADON
NA,2009,Cambe,PR,-23.27583333,-51.27833333,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2009,Campo Mourao,PR,-24.04555556,-52.38305556,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Faus,NIV
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
NA,2011,Cantagalo,PR,-25.37444444,-52.12638889,NA,NA,NA,Fgra,15-ADON
