"","field","year","location","state","lat","long","residue","inc","sev","species","genotype","field2"
"1",25,2010,"Agua Santa","RS",-28.30617,-52.08281,"soybean",68.24,9.47,"Fusarium graminearum","15-ADON",2500
"2",25,2010,"Agua Santa","RS",-28.30617,-52.08281,"soybean",68.24,9.47,"Fusarium graminearum","15-ADON",2500
"3",25,2010,"Agua Santa","RS",-28.28964,-51.97308,"soybean",68.24,9.47,"Fusarium graminearum","15-ADON",2500
"4",25,2010,"Agua Santa","RS",-28.28964,-51.97308,"soybean",68.24,9.47,"Fusarium graminearum","15-ADON",2500
"5",25,2010,"Agua Santa","RS",-28.28964,-51.97308,"soybean",68.24,9.47,"Fusarium graminearum","15-ADON",2500
"6",26,2010,"Agua Santa","RS",-28.72158,-51.24422,"corn",34,3.73,"Fusarium graminearum","15-ADON",2600
"7",26,2010,"Agua Santa","RS",-28.72158,-51.24422,"corn",34,3.73,"Fusarium graminearum","15-ADON",2600
"8",26,2010,"Agua Santa","RS",-28.72158,-51.24422,"corn",34,3.73,"Fusarium graminearum","15-ADON",2600
"9",26,2010,"Agua Santa","RS",-28.30103,-51.46317,"corn",34,3.73,"Fusarium meridionale","NIV",2600
"10",36,2011,"Agua Santa","RS",-28.37067,-52.98822,"soybean",40.5,1.31,"Fusarium graminearum","15-ADON",3600
"11",48,2010,"Antonio Prado","RS",-28.33483,-52.88072,"soybean",2,0.02,"Fcor","NIV",4800
"12",49,2010,"Antonio Prado","RS",-28.72158,-51.24422,"corn",11,0.22,"Fusarium graminearum","15-ADON",4900
"13",49,2010,"Antonio Prado","RS",-28.30103,-51.46317,"corn",11,0.22,"Fusarium graminearum","15-ADON",4900
"14",49,2010,"Antonio Prado","RS",-28.27356,-52.68206,"corn",11,0.22,"Fusarium graminearum","15-ADON",4900
"15",49,2010,"Antonio Prado","RS",-28.27356,-52.68206,"corn",11,0.22,"Fusarium graminearum","15-ADON",4900
"16",NA,2009,"Apucarana","PR",-23.55083333,-51.08583333,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"17",NA,2009,"Apucarana","PR",-23.55083333,-51.08583333,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"18",NA,2009,"Apucarana","PR",-23.55083333,-51.08583333,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"19",NA,2009,"Apucarana","PR",-23.55083333,-51.08583333,NA,NA,NA,"Fusarium meridionale","NIV",NA
"20",NA,2009,"Arapongas","PR",-23.41944444,-51.42444444,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"21",NA,2009,"Arapongas","PR",-23.41944444,-51.42444444,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"22",NA,2009,"Arapongas","PR",-23.41944444,-51.42444444,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"23",NA,2009,"Arapongas","PR",-23.41944444,-51.42444444,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"24",NA,2009,"Assis Chateaubriand","PR",-24.79888889,-53.30666667,NA,NA,NA,"Fusarium meridionale","NIV",NA
"25",NA,2009,"Assis Chateaubriand","PR",-24.79888889,-53.30666667,NA,NA,NA,"Fusarium meridionale","NIV",NA
"26",NA,2009,"Assis Chateaubriand","PR",-24.79888889,-53.30666667,NA,NA,NA,"Fusarium meridionale","NIV",NA
"27",NA,2009,"Assis Chateaubriand","PR",-24.79888889,-53.30666667,NA,NA,NA,"Fusarium meridionale","NIV",NA
"28",NA,2009,"Assis Chateaubriand","PR",-24.79888889,-53.30666667,NA,NA,NA,"Fusarium meridionale","NIV",NA
"29",38,2010,"Barreto","RS",-28.32164,-51.23739,"soybean",13,0.46,"Faus","3-ADON",3800
"30",38,2010,"Barreto","RS",-28.24944,-51.84692,"soybean",13,0.46,"Fcor","NIV",3800
"31",38,2010,"Barreto","RS",-28.27356,-52.68206,"soybean",13,0.46,"Fusarium graminearum","15-ADON",3800
"32",38,2010,"Barreto","RS",-28.26644,-51.66858,"soybean",13,0.46,"Fusarium meridionale","NIV",3800
"33",NA,2009,"Bela Vista do Paraiso","PR",-24.09972222,-52.62333333,NA,NA,NA,"Fusarium meridionale","NIV",NA
"34",21,2009,"Boa Vista das Missoes","RS",-28.53,-52.763,"corn",25.13,2.5,"Fusarium graminearum","15-ADON",2100
"35",21,2009,"Boa Vista das Missoes","RS",-28.53,-52.763,"corn",25.13,2.5,"Fusarium graminearum","15-ADON",2100
"36",21,2009,"Boa Vista das Missoes","RS",-28.53,-52.763,"corn",25.13,2.5,"Fusarium graminearum","15-ADON",2100
"37",22,2009,"Boa Vista das Missoes","RS",-28.609,-52.75,"corn",61.81,7.19,"Fusarium graminearum","15-ADON",2200
"38",22,2009,"Boa Vista das Missoes","RS",-28.609,-52.75,"corn",61.81,7.19,"Fusarium graminearum","15-ADON",2200
"39",22,2009,"Boa Vista das Missoes","RS",-28.609,-52.75,"corn",61.81,7.19,"Fusarium graminearum","15-ADON",2200
"40",22,2009,"Boa Vista das Missoes","RS",-28.609,-52.75,"corn",61.81,7.19,"Fusarium graminearum","15-ADON",2200
"41",NA,2009,"Cambe","PR",-23.27583333,-51.27833333,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"42",NA,2009,"Cambe","PR",-23.27583333,-51.27833333,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"43",NA,2009,"Cambe","PR",-23.27583333,-51.27833333,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"44",NA,2009,"Cambe","PR",-23.27583333,-51.27833333,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"45",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"46",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"47",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"48",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"49",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"50",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"51",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"52",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"53",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"54",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"55",NA,2009,"Campo Mourao","PR",-24.04555556,-52.38305556,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"56",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Faus","NIV",NA
"57",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"58",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"59",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"60",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"61",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"62",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"63",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"64",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"65",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"66",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"67",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"68",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"69",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"70",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"71",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"72",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"73",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"74",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"75",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"76",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"77",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium graminearum","15-ADON",NA
"78",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium meridionale","NIV",NA
"79",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium meridionale","NIV",NA
"80",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium meridionale","NIV",NA
"81",NA,2011,"Cantagalo","PR",-25.37444444,-52.12638889,NA,NA,NA,"Fusarium meridionale","NIV",NA
"82",2,2010,"Carazinho","RS",-28.27356,-52.68206,"soybean",72.5,14.27,"Fusarium graminearum","15-ADON",200
"83",2,2010,"Carazinho","RS",-28.31694,-52.75322,"soybean",72.5,14.27,"Fusarium graminearum","15-ADON",200
"84",2,2010,"Carazinho","RS",-28.31694,-52.75322,"soybean",72.5,14.27,"Fusarium graminearum","15-ADON",200
"85",2,2010,"Carazinho","RS",-28.31694,-52.75322,"soybean",72.5,14.27,"Fusarium graminearum","15-ADON",200
"86",3,2010,"Carazinho","RS",-28.31694,-52.75322,"soybean",67,18.65,"Fusarium graminearum","15-ADON",300
"87",3,2010,"Carazinho","RS",-28.31694,-52.75322,"soybean",67,18.65,"Fusarium graminearum","15-ADON",300
"88",3,2010,"Carazinho","RS",-28.31181,-52.80419,"soybean",67,18.65,"Fusarium graminearum","15-ADON",300
"89",3,2010,"Carazinho","RS",-28.31181,-52.80419,"soybean",67,18.65,"Fusarium graminearum","15-ADON",300
"90",3,2010,"Carazinho","RS",-28.31181,-52.80419,"soybean",67,18.65,"Fusarium graminearum","15-ADON",300
"91",4,2010,"Carazinho","RS",-28.31231,-51.36056,"soybean",43.5,17.48,"Fcor","3-ADON",400
"92",4,2010,"Carazinho","RS",-28.31181,-52.80419,"soybean",43.5,17.48,"Fusarium graminearum","15-ADON",400
