"","campo","ano","local","estado","lat","long","residuo","incidencia","severidade","especie","quimiotipo","index"
"1",37,2009,"Coxilha","RS",-28.267,-52.206,NA,0,0,"Fusarium graminearum","15-ADON",186
"2",37,2009,"Coxilha","RS",-28.267,-52.206,NA,0,0,"Fusarium graminearum","15-ADON",187
"3",37,2009,"Coxilha","RS",-28.267,-52.206,NA,0,0,"Fusarium graminearum","15-ADON",188
"4",48,2010,"Antonio Prado","RS",-28.33483,-52.88072,"soybean",2,0.02,"Fcor","NIV",11
"5",45,2010,"Vacaria","RS",-28.60075,-51.03706,"corn",2,0.03,"Fusarium graminearum","15-ADON",642
"6",7,2011,"Ijui","RS",-28.37331,-53.83989,"soybean",2,0.03,"Fusarium graminearum","15-ADON",259
"7",7,2011,"Ijui","RS",-28.38306,-54.03853,"soybean",2,0.03,"Fusarium graminearum","15-ADON",260
"8",7,2011,"Ijui","RS",-28.36456,-53.79106,"soybean",2,0.03,"Fusarium graminearum","15-ADON",261
"9",7,2011,"Ijui","RS",-28.28686,-52.70706,"soybean",2,0.03,"Fmer","NIV",262
"10",59,2011,"Vacaria","RS",-28.26644,-51.66858,"corn",1,0.05,"Fusarium graminearum","15-ADON",665
"11",2,2011,"Ijui","RS",-28.46053,-53.86439,"soybean",2.5,0.07,"Fusarium graminearum","15-ADON",246
"12",2,2011,"Ijui","RS",-28.38306,-54.03853,"soybean",2.5,0.07,"Fusarium graminearum","15-ADON",247
"13",2,2011,"Ijui","RS",-28.38306,-54.03853,"soybean",2.5,0.07,"Fusarium graminearum","15-ADON",248
"14",2,2011,"Ijui","RS",-28.07047,-51.91642,"soybean",2.5,0.07,"Fusarium graminearum","15-ADON",249
"15",46,2010,"Vacaria","RS",-28.35564,-51.11736,"corn",4,0.09,"Fcor","NIV",643
"16",46,2010,"Vacaria","RS",-28.63539,-51.08653,"corn",4,0.09,"Fusarium graminearum","15-ADON",644
"17",46,2010,"Vacaria","RS",-28.63539,-51.08653,"corn",4,0.09,"Fusarium graminearum","15-ADON",645
"18",46,2010,"Vacaria","RS",-28.63539,-51.08653,"corn",4,0.09,"Fusarium graminearum","15-ADON",646
"19",46,2010,"Vacaria","RS",-28.35564,-51.11736,"corn",4,0.09,"Fmer","NIV",647
"20",46,2010,"Vacaria","RS",-28.35564,-51.11736,"corn",4,0.09,"Fmer","NIV",648
"21",16,2011,"Panambi","RS",-28.38889,-53.25869,"corn",3.5,0.09,"Fusarium graminearum","15-ADON",428
"22",42,2009,"Carazinho","RS",-28.248,-51.822,"corn",3,0.12,"Fusarium graminearum","15-ADON",119
"23",42,2009,"Carazinho","RS",-28.248,-51.822,"corn",3,0.12,"Fusarium graminearum","15-ADON",120
"24",42,2009,"Carazinho","RS",-28.248,-51.822,"corn",3,0.12,"Fusarium graminearum","15-ADON",121
"25",9,2011,"Santa Barbara do Sul","RS",-28.38442,-53.35019,"soybean",1,0.15,"Fusarium graminearum","15-ADON",544
"26",9,2011,"Santa Barbara do Sul","RS",-28.38442,-53.35019,"soybean",1,0.15,"Fusarium graminearum","15-ADON",545
"27",9,2011,"Santa Barbara do Sul","RS",-28.38442,-53.35019,"soybean",1,0.15,"Fusarium graminearum","15-ADON",546
"28",9,2011,"Santa Barbara do Sul","RS",-28.28686,-52.70706,"soybean",1,0.15,"Fusarium graminearum","15-ADON",547
"29",9,2011,"Santa Barbara do Sul","RS",-28.28686,-52.70706,"soybean",1,0.15,"Fusarium graminearum","15-ADON",548
"30",9,2011,"Santa Barbara do Sul","RS",-28.40511,-52.26956,"soybean",1,0.15,"Fusarium graminearum","15-ADON",549
"31",56,2011,"Vacaria","RS",-28.26994,-51.92253,"corn",2.5,0.15,"Fcor","NIV",663
"32",4,2011,"Ijui","RS",-28.42317,-53.91117,"soybean",7,0.16,"Fusarium graminearum","15-ADON",250
"33",4,2011,"Ijui","RS",-28.42317,-53.91117,"soybean",7,0.16,"Fusarium graminearum","15-ADON",251
"34",4,2011,"Ijui","RS",-28.42317,-53.91117,"soybean",7,0.16,"Fusarium graminearum","15-ADON",252
"35",4,2011,"Ijui","RS",-28.37331,-53.83989,"soybean",7,0.16,"Fusarium graminearum","15-ADON",253
"36",49,2010,"Antonio Prado","RS",-28.72158,-51.24422,"corn",11,0.22,"Fusarium graminearum","15-ADON",12
"37",49,2010,"Antonio Prado","RS",-28.30103,-51.46317,"corn",11,0.22,"Fusarium graminearum","15-ADON",13
